Started Logging. 2022-07-09 13:13:45.005116

0.json in train
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-0.027365930378437042, -0.11777807027101517, 0.36510688066482544], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '0-1', 'position': [-2.7666046619415283, -0.2626284956932068, 0.3578251004219055], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-0.027365930378437042, -0.11777807027101517, 0.36510688066482544], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '0-2', 'position': [-1.5147053003311157, -0.16166642308235168, 0.3658530116081238], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-0.027365930378437042, -0.11777807027101517, 0.36510688066482544], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '0-3', 'position': [1.3730651140213013, -0.001032141037285328, 0.36575764417648315], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-2.7666046619415283, -0.2626284956932068, 0.3578251004219055], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-0', 'position': [-0.027365930378437042, -0.11777807027101517, 0.36510688066482544], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-2.7666046619415283, -0.2626284956932068, 0.3578251004219055], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-2', 'position': [-1.5147053003311157, -0.16166642308235168, 0.3658530116081238], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-2.7666046619415283, -0.2626284956932068, 0.3578251004219055], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-3', 'position': [1.3730651140213013, -0.001032141037285328, 0.36575764417648315], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-2', 'position': [-1.5147053003311157, -0.16166642308235168, 0.3658530116081238], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-1', 'position': [-2.7666046619415283, -0.2626284956932068, 0.3578251004219055], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [-1.5147053003311157, -0.16166642308235168, 0.3658530116081238], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-0', 'position': [-0.027365930378437042, -0.11777807027101517, 0.36510688066482544], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [-1.5147053003311157, -0.16166642308235168, 0.3658530116081238], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-3', 'position': [1.3730651140213013, -0.001032141037285328, 0.36575764417648315], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.3730651140213013, -0.001032141037285328, 0.36575764417648315], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '0-0', 'position': [-0.027365930378437042, -0.11777807027101517, 0.36510688066482544], 'color': 'gray', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.3730651140213013, -0.001032141037285328, 0.36575764417648315], 'color': 'gray', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '0-1', 'position': [-2.7666046619415283, -0.2626284956932068, 0.3578251004219055], 'color': 'gray', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
