lr-Adam,step,train_loss,epoch,accuracy
0.0003,49,,,
,49,0.49145686626434326,0,
0.0003,99,,,
,99,0.7256510257720947,0,
,99,,0,0.2914285659790039
0.0003,149,,,
,149,0.7782050967216492,1,
0.0003,199,,,
,199,0.5192328095436096,1,
,199,,1,0.2628571391105652
0.0003,249,,,
,249,0.6517826318740845,2,
0.0003,299,,,
,299,0.5487380623817444,2,
,299,,2,0.20000000298023224
0.0003,349,,,
,349,1.5000075101852417,3,
0.0003,399,,,
,399,0.4499712288379669,3,
,399,,3,0.20000000298023224
0.0003,449,,,
,449,0.41444098949432373,4,
0.0003,499,,,
,499,0.5305520296096802,4,
,499,,4,0.3257142901420593
0.0003,549,,,
,549,0.37832650542259216,5,
0.0003,599,,,
,599,0.4040449261665344,5,
,599,,5,0.2800000011920929
2.9999999999999997e-05,649,,,
,649,0.05091738700866699,6,
2.9999999999999997e-05,699,,,
,699,0.2377924919128418,6,
,699,,6,0.22857142984867096
2.9999999999999997e-05,749,,,
,749,0.1952064335346222,7,
2.9999999999999997e-05,799,,,
,799,0.12912464141845703,7,
,799,,7,0.21142856776714325
2.9999999999999997e-05,849,,,
,849,0.08641129732131958,8,
2.9999999999999997e-05,899,,,
,899,0.06039591133594513,8,
,899,,8,0.23428571224212646
3e-06,949,,,
,949,0.19103211164474487,9,
3e-06,999,,,
,999,0.05353805422782898,9,
,999,,9,0.20000000298023224
,1000,,9,0.20000000298023224
