Started Logging. 2022-07-09 14:25:31.544755

0.json in train
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-0.020507708191871643, 0.16704300045967102, 0.3798701763153076], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '0-1', 'position': [-1.3779839277267456, 0.05664655566215515, 0.36237117648124695], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-0.020507708191871643, 0.16704300045967102, 0.3798701763153076], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '0-2', 'position': [-2.7825047969818115, 0.007998170331120491, 0.3548182249069214], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-0.020507708191871643, 0.16704300045967102, 0.3798701763153076], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '0-3', 'position': [1.3694502115249634, 0.22619131207466125, 0.36494874954223633], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-1', 'position': [-1.3779839277267456, 0.05664655566215515, 0.36237117648124695], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-2', 'position': [-2.7825047969818115, 0.007998170331120491, 0.3548182249069214], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-1.3779839277267456, 0.05664655566215515, 0.36237117648124695], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-0', 'position': [-0.020507708191871643, 0.16704300045967102, 0.3798701763153076], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-1.3779839277267456, 0.05664655566215515, 0.36237117648124695], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-3', 'position': [1.3694502115249634, 0.22619131207466125, 0.36494874954223633], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [-2.7825047969818115, 0.007998170331120491, 0.3548182249069214], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-0', 'position': [-0.020507708191871643, 0.16704300045967102, 0.3798701763153076], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [-2.7825047969818115, 0.007998170331120491, 0.3548182249069214], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-1', 'position': [-1.3779839277267456, 0.05664655566215515, 0.36237117648124695], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [-2.7825047969818115, 0.007998170331120491, 0.3548182249069214], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-3', 'position': [1.3694502115249634, 0.22619131207466125, 0.36494874954223633], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.3694502115249634, 0.22619131207466125, 0.36494874954223633], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '0-0', 'position': [-0.020507708191871643, 0.16704300045967102, 0.3798701763153076], 'color': 'purple', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.3694502115249634, 0.22619131207466125, 0.36494874954223633], 'color': 'purple', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '0-1', 'position': [-1.3779839277267456, 0.05664655566215515, 0.36237117648124695], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
