lr-Adam,step,train_loss,epoch,accuracy
0.0003,49,,,
,49,0.5390750765800476,0,
0.0003,99,,,
,99,0.5729818344116211,0,
0.0003,149,,,
,149,0.5619102120399475,0,
,149,,0,0.4480000138282776
0.0003,199,,,
,199,0.552573561668396,1,
0.0003,249,,,
,249,0.562425971031189,1,
0.0003,299,,,
,299,0.585018515586853,1,
,299,,1,0.5360000133514404
0.0003,349,,,
,349,0.6173847913742065,2,
0.0003,399,,,
,399,0.729191780090332,2,
0.0003,449,,,
,449,0.554199755191803,2,
,449,,2,0.6159999966621399
0.0003,499,,,
,499,0.5677706003189087,3,
0.0003,549,,,
,549,0.5185965895652771,3,
0.0003,599,,,
,599,0.4570079445838928,3,
,599,,3,0.5120000243186951
2.9999999999999997e-05,649,,,
,649,0.6921226978302002,4,
2.9999999999999997e-05,699,,,
,699,0.5068973302841187,4,
2.9999999999999997e-05,749,,,
,749,0.738674521446228,4,
,749,,4,0.5759999752044678
2.9999999999999997e-05,799,,,
,799,0.491454154253006,5,
2.9999999999999997e-05,849,,,
,849,0.44814085960388184,5,
2.9999999999999997e-05,899,,,
,899,0.7412092685699463,5,
,899,,5,0.5759999752044678
2.9999999999999997e-05,949,,,
,949,0.5376555919647217,6,
2.9999999999999997e-05,999,,,
,999,0.488985538482666,6,
2.9999999999999997e-05,1049,,,
,1049,0.4600736200809479,6,
,1049,,6,0.5440000295639038
3e-06,1099,,,
,1099,0.4421384632587433,7,
3e-06,1149,,,
,1149,0.5031581521034241,7,
3e-06,1199,,,
,1199,0.37803417444229126,7,
,1199,,7,0.5839999914169312
3e-06,1249,,,
,1249,0.3931821584701538,8,
3e-06,1299,,,
,1299,0.38530233502388,8,
3e-06,1349,,,
,1349,0.4445928633213043,8,
,1349,,8,0.5600000023841858
3e-06,1399,,,
,1399,0.4501184821128845,9,
3e-06,1449,,,
,1449,0.7996900677680969,9,
3e-06,1499,,,
,1499,0.4365873336791992,9,
,1499,,9,0.5680000185966492
,1500,,9,0.5680000185966492
