a b c | 1 2 d
a b c | 1 3 d
a b c | 1 4 d
a b c | 1 5 d
a b c | 2 3 d
a b c | 2 4 d
a b c | 2 5 d
a b c | 3 4 d
a b c | 3 5 d
a b c | 4 5 d
a b c | 1 2 e
a b c | 1 3 e
a b c | 1 4 e
a b c | 1 5 e
a b c | 2 3 e
a b c | 2 4 e
a b c | 2 5 e
a b c | 3 4 e
a b c | 3 5 e
a b c | 4 5 e
a b c | 1 2 f
a b c | 1 3 f
a b c | 1 4 f
a b c | 1 5 f
a b c | 2 3 f
a b c | 2 4 f
a b c | 2 5 f
a b c | 3 4 f
a b c | 3 5 f
a b c | 4 5 f
a b c | 1 2 g
a b c | 1 3 g
a b c | 1 4 g
a b c | 1 5 g
a b c | 2 3 g
a b c | 2 4 g
a b c | 2 5 g
a b c | 3 4 g
a b c | 3 5 g
a b c | 4 5 g
a b d | 1 2 c
a b d | 1 3 c
a b d | 1 4 c
a b d | 1 5 c
a b d | 2 3 c
a b d | 2 4 c
a b d | 2 5 c
a b d | 3 4 c
a b d | 3 5 c
a b d | 4 5 c
a b d | 1 2 e
a b d | 1 3 e
a b d | 1 4 e
a b d | 1 5 e
a b d | 2 3 e
a b d | 2 4 e
a b d | 2 5 e
a b d | 3 4 e
a b d | 3 5 e
a b d | 4 5 e
a b d | 1 2 f
a b d | 1 3 f
a b d | 1 4 f
a b d | 1 5 f
a b d | 2 3 f
a b d | 2 4 f
a b d | 2 5 f
a b d | 3 4 f
a b d | 3 5 f
a b d | 4 5 f
a b d | 1 2 g
a b d | 1 3 g
a b d | 1 4 g
a b d | 1 5 g
a b d | 2 3 g
a b d | 2 4 g
a b d | 2 5 g
a b d | 3 4 g
a b d | 3 5 g
a b d | 4 5 g
a b e | 1 2 c
a b e | 1 3 c
a b e | 1 4 c
a b e | 1 5 c
a b e | 2 3 c
a b e | 2 4 c
a b e | 2 5 c
a b e | 3 4 c
a b e | 3 5 c
a b e | 4 5 c
a b e | 1 2 d
a b e | 1 3 d
a b e | 1 4 d
a b e | 1 5 d
a b e | 2 3 d
a b e | 2 4 d
a b e | 2 5 d
a b e | 3 4 d
a b e | 3 5 d
a b e | 4 5 d
a b e | 1 2 f
a b e | 1 3 f
a b e | 1 4 f
a b e | 1 5 f
a b e | 2 3 f
a b e | 2 4 f
a b e | 2 5 f
a b e | 3 4 f
a b e | 3 5 f
a b e | 4 5 f
a b e | 1 2 g
a b e | 1 3 g
a b e | 1 4 g
a b e | 1 5 g
a b e | 2 3 g
a b e | 2 4 g
a b e | 2 5 g
a b e | 3 4 g
a b e | 3 5 g
a b e | 4 5 g
a b f | 1 2 c
a b f | 1 3 c
a b f | 1 4 c
a b f | 1 5 c
a b f | 2 3 c
a b f | 2 4 c
a b f | 2 5 c
a b f | 3 4 c
a b f | 3 5 c
a b f | 4 5 c
a b f | 1 2 d
a b f | 1 3 d
a b f | 1 4 d
a b f | 1 5 d
a b f | 2 3 d
a b f | 2 4 d
a b f | 2 5 d
a b f | 3 4 d
a b f | 3 5 d
a b f | 4 5 d
a b f | 1 2 e
a b f | 1 3 e
a b f | 1 4 e
a b f | 1 5 e
a b f | 2 3 e
a b f | 2 4 e
a b f | 2 5 e
a b f | 3 4 e
a b f | 3 5 e
a b f | 4 5 e
a b f | 1 2 g
a b f | 1 3 g
a b f | 1 4 g
a b f | 1 5 g
a b f | 2 3 g
a b f | 2 4 g
a b f | 2 5 g
a b f | 3 4 g
a b f | 3 5 g
a b f | 4 5 g
a b g | 1 2 c
a b g | 1 3 c
a b g | 1 4 c
a b g | 1 5 c
a b g | 2 3 c
a b g | 2 4 c
a b g | 2 5 c
a b g | 3 4 c
a b g | 3 5 c
a b g | 4 5 c
a b g | 1 2 d
a b g | 1 3 d
a b g | 1 4 d
a b g | 1 5 d
a b g | 2 3 d
a b g | 2 4 d
a b g | 2 5 d
a b g | 3 4 d
a b g | 3 5 d
a b g | 4 5 d
a b g | 1 2 e
a b g | 1 3 e
a b g | 1 4 e
a b g | 1 5 e
a b g | 2 3 e
a b g | 2 4 e
a b g | 2 5 e
a b g | 3 4 e
a b g | 3 5 e
a b g | 4 5 e
a b g | 1 2 f
a b g | 1 3 f
a b g | 1 4 f
a b g | 1 5 f
a b g | 2 3 f
a b g | 2 4 f
a b g | 2 5 f
a b g | 3 4 f
a b g | 3 5 f
a b g | 4 5 f
a c d | 1 2 b
a c d | 1 3 b
a c d | 1 4 b
a c d | 1 5 b
a c d | 2 3 b
a c d | 2 4 b
a c d | 2 5 b
a c d | 3 4 b
a c d | 3 5 b
a c d | 4 5 b
a c d | 1 2 e
a c d | 1 3 e
a c d | 1 4 e
a c d | 1 5 e
a c d | 2 3 e
a c d | 2 4 e
a c d | 2 5 e
a c d | 3 4 e
a c d | 3 5 e
a c d | 4 5 e
a c d | 1 2 f
a c d | 1 3 f
a c d | 1 4 f
a c d | 1 5 f
a c d | 2 3 f
a c d | 2 4 f
a c d | 2 5 f
a c d | 3 4 f
a c d | 3 5 f
a c d | 4 5 f
a c d | 1 2 g
a c d | 1 3 g
a c d | 1 4 g
a c d | 1 5 g
a c d | 2 3 g
a c d | 2 4 g
a c d | 2 5 g
a c d | 3 4 g
a c d | 3 5 g
a c d | 4 5 g
a c e | 1 2 b
a c e | 1 3 b
a c e | 1 4 b
a c e | 1 5 b
a c e | 2 3 b
a c e | 2 4 b
a c e | 2 5 b
a c e | 3 4 b
a c e | 3 5 b
a c e | 4 5 b
a c e | 1 2 d
a c e | 1 3 d
a c e | 1 4 d
a c e | 1 5 d
a c e | 2 3 d
a c e | 2 4 d
a c e | 2 5 d
a c e | 3 4 d
a c e | 3 5 d
a c e | 4 5 d
a c e | 1 2 f
a c e | 1 3 f
a c e | 1 4 f
a c e | 1 5 f
a c e | 2 3 f
a c e | 2 4 f
a c e | 2 5 f
a c e | 3 4 f
a c e | 3 5 f
a c e | 4 5 f
a c e | 1 2 g
a c e | 1 3 g
a c e | 1 4 g
a c e | 1 5 g
a c e | 2 3 g
a c e | 2 4 g
a c e | 2 5 g
a c e | 3 4 g
a c e | 3 5 g
a c e | 4 5 g
a c f | 1 2 b
a c f | 1 3 b
a c f | 1 4 b
a c f | 1 5 b
a c f | 2 3 b
a c f | 2 4 b
a c f | 2 5 b
a c f | 3 4 b
a c f | 3 5 b
a c f | 4 5 b
a c f | 1 2 d
a c f | 1 3 d
a c f | 1 4 d
a c f | 1 5 d
a c f | 2 3 d
a c f | 2 4 d
a c f | 2 5 d
a c f | 3 4 d
a c f | 3 5 d
a c f | 4 5 d
a c f | 1 2 e
a c f | 1 3 e
a c f | 1 4 e
a c f | 1 5 e
a c f | 2 3 e
a c f | 2 4 e
a c f | 2 5 e
a c f | 3 4 e
a c f | 3 5 e
a c f | 4 5 e
a c f | 1 2 g
a c f | 1 3 g
a c f | 1 4 g
a c f | 1 5 g
a c f | 2 3 g
a c f | 2 4 g
a c f | 2 5 g
a c f | 3 4 g
a c f | 3 5 g
a c f | 4 5 g
a c g | 1 2 b
a c g | 1 3 b
a c g | 1 4 b
a c g | 1 5 b
a c g | 2 3 b
a c g | 2 4 b
a c g | 2 5 b
a c g | 3 4 b
a c g | 3 5 b
a c g | 4 5 b
a c g | 1 2 d
a c g | 1 3 d
a c g | 1 4 d
a c g | 1 5 d
a c g | 2 3 d
a c g | 2 4 d
a c g | 2 5 d
a c g | 3 4 d
a c g | 3 5 d
a c g | 4 5 d
a c g | 1 2 e
a c g | 1 3 e
a c g | 1 4 e
a c g | 1 5 e
a c g | 2 3 e
a c g | 2 4 e
a c g | 2 5 e
a c g | 3 4 e
a c g | 3 5 e
a c g | 4 5 e
a c g | 1 2 f
a c g | 1 3 f
a c g | 1 4 f
a c g | 1 5 f
a c g | 2 3 f
a c g | 2 4 f
a c g | 2 5 f
a c g | 3 4 f
a c g | 3 5 f
a c g | 4 5 f
a d e | 1 2 b
a d e | 1 3 b
a d e | 1 4 b
a d e | 1 5 b
a d e | 2 3 b
