lr-Adam,step,train_recon_loss,train_kl,train_loss,epoch,val_recon_loss,val_kl,val_loss
0.0001,49,,,,,,,
,49,0.04400185868144035,0.009086969308555126,0.053088828921318054,0,,,
0.0001,99,,,,,,,
,99,0.07284272462129593,0.00609757611528039,0.07894030213356018,0,,,
0.0001,149,,,,,,,
,149,0.05778791382908821,0.006330214440822601,0.06411813199520111,0,,,
0.0001,199,,,,,,,
,199,0.1023649200797081,0.007354401983320713,0.10971932113170624,0,,,
0.0001,249,,,,,,,
,249,0.03253423795104027,0.0057318247854709625,0.03826606273651123,0,,,
0.0001,299,,,,,,,
,299,0.06457261741161346,0.00534012308344245,0.06991273909807205,0,,,
0.0001,349,,,,,,,
,349,0.06217460706830025,0.00435744971036911,0.06653206050395966,0,,,
0.0001,399,,,,,,,
,399,0.036368343979120255,0.005219317506998777,0.04158766195178032,0,,,
0.0001,449,,,,,,,
,449,0.0747755691409111,0.004287694580852985,0.07906326651573181,0,,,
0.0001,499,,,,,,,
,499,0.05327139049768448,0.005172499921172857,0.058443889021873474,0,,,
0.0001,549,,,,,,,
,549,0.09455461800098419,0.004628613591194153,0.09918323159217834,0,,,
0.0001,599,,,,,,,
,599,0.046720221638679504,0.003276191418990493,0.04999641329050064,0,,,
0.0001,649,,,,,,,
,649,0.04684418439865112,0.00578061118721962,0.05262479558587074,0,,,
0.0001,699,,,,,,,
,699,0.06675218045711517,0.003662771312519908,0.0704149529337883,0,,,
0.0001,749,,,,,,,
,749,0.05082546919584274,0.005644482560455799,0.05646995082497597,0,,,
0.0001,799,,,,,,,
,799,0.06672865152359009,0.005618843715637922,0.072347491979599,0,,,
0.0001,849,,,,,,,
,849,0.04429664835333824,0.004180300049483776,0.04847694933414459,0,,,
0.0001,899,,,,,,,
,899,0.04924873635172844,0.0035813048016279936,0.0528300404548645,0,,,
0.0001,949,,,,,,,
,949,0.04355290159583092,0.003417203202843666,0.04697010666131973,0,,,
0.0001,999,,,,,,,
,999,0.08115913718938828,0.003487498266622424,0.08464663475751877,0,,,
0.0001,1049,,,,,,,
,1049,0.06400498747825623,0.005100277718156576,0.06910526752471924,0,,,
0.0001,1099,,,,,,,
,1099,0.0930016040802002,0.0052284859120845795,0.09823009371757507,0,,,
0.0001,1149,,,,,,,
