Started Logging. 2022-07-09 14:21:31.066704

0.json in train
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-2.8539347648620605, -0.08041496574878693, 0.3627746105194092], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-1', 'position': [-1.5742623805999756, -0.21313440799713135, 0.3579615652561188], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.8539347648620605, -0.08041496574878693, 0.3627746105194092], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-2', 'position': [-0.07213043421506882, 0.04335176199674606, 0.3721514344215393], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.8539347648620605, -0.08041496574878693, 0.3627746105194092], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-3', 'position': [1.2774155139923096, -0.012418893165886402, 0.3642033338546753], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-1.5742623805999756, -0.21313440799713135, 0.3579615652561188], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-0', 'position': [-2.8539347648620605, -0.08041496574878693, 0.3627746105194092], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-1.5742623805999756, -0.21313440799713135, 0.3579615652561188], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-2', 'position': [-0.07213043421506882, 0.04335176199674606, 0.3721514344215393], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-1.5742623805999756, -0.21313440799713135, 0.3579615652561188], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-3', 'position': [1.2774155139923096, -0.012418893165886402, 0.3642033338546753], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-2', 'position': [-0.07213043421506882, 0.04335176199674606, 0.3721514344215393], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-0', 'position': [-2.8539347648620605, -0.08041496574878693, 0.3627746105194092], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-2', 'position': [-0.07213043421506882, 0.04335176199674606, 0.3721514344215393], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-1', 'position': [-1.5742623805999756, -0.21313440799713135, 0.3579615652561188], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-2', 'position': [-0.07213043421506882, 0.04335176199674606, 0.3721514344215393], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-3', 'position': [1.2774155139923096, -0.012418893165886402, 0.3642033338546753], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.2774155139923096, -0.012418893165886402, 0.3642033338546753], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '0-0', 'position': [-2.8539347648620605, -0.08041496574878693, 0.3627746105194092], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.2774155139923096, -0.012418893165886402, 0.3642033338546753], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '0-1', 'position': [-1.5742623805999756, -0.21313440799713135, 0.3579615652561188], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-3', 'position': [1.2774155139923096, -0.012418893165886402, 0.3642033338546753], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '0-2', 'position': [-0.07213043421506882, 0.04335176199674606, 0.3721514344215393], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
1.json in test
THRESHOLD relate_behind objs = {'id': '1-0', 'position': [-1.4122939109802246, -0.04854380339384079, 0.35276690125465393], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-1', 'position': [-2.8441264629364014, -0.21760940551757812, 0.34997254610061646], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [-1.4122939109802246, -0.04854380339384079, 0.35276690125465393], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-2', 'position': [1.3219746351242065, 0.2574394643306732, 0.38345038890838623], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [-1.4122939109802246, -0.04854380339384079, 0.35276690125465393], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-3', 'position': [2.872352123260498, 0.23411071300506592, 0.37605786323547363], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [-1.4122939109802246, -0.04854380339384079, 0.35276690125465393], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-4', 'position': [-0.05461450666189194, 0.03246363252401352, 0.35844969749450684], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-1', 'position': [-2.8441264629364014, -0.21760940551757812, 0.34997254610061646], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-0', 'position': [-1.4122939109802246, -0.04854380339384079, 0.35276690125465393], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-1', 'position': [-2.8441264629364014, -0.21760940551757812, 0.34997254610061646], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '1-4', 'position': [-0.05461450666189194, 0.03246363252401352, 0.35844969749450684], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-2', 'position': [1.3219746351242065, 0.2574394643306732, 0.38345038890838623], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-0', 'position': [-1.4122939109802246, -0.04854380339384079, 0.35276690125465393], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-2', 'position': [1.3219746351242065, 0.2574394643306732, 0.38345038890838623], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-3', 'position': [2.872352123260498, 0.23411071300506592, 0.37605786323547363], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-2', 'position': [1.3219746351242065, 0.2574394643306732, 0.38345038890838623], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-4', 'position': [-0.05461450666189194, 0.03246363252401352, 0.35844969749450684], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-3', 'position': [2.872352123260498, 0.23411071300506592, 0.37605786323547363], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-0', 'position': [-1.4122939109802246, -0.04854380339384079, 0.35276690125465393], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-3', 'position': [2.872352123260498, 0.23411071300506592, 0.37605786323547363], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-4', 'position': [-0.05461450666189194, 0.03246363252401352, 0.35844969749450684], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-3', 'position': [2.872352123260498, 0.23411071300506592, 0.37605786323547363], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '1-2', 'position': [1.3219746351242065, 0.2574394643306732, 0.38345038890838623], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-4', 'position': [-0.05461450666189194, 0.03246363252401352, 0.35844969749450684], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '1-0', 'position': [-1.4122939109802246, -0.04854380339384079, 0.35276690125465393], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '1-4', 'position': [-0.05461450666189194, 0.03246363252401352, 0.35844969749450684], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '1-1', 'position': [-2.8441264629364014, -0.21760940551757812, 0.34997254610061646], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-4', 'position': [-0.05461450666189194, 0.03246363252401352, 0.35844969749450684], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '1-2', 'position': [1.3219746351242065, 0.2574394643306732, 0.38345038890838623], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '1-4', 'position': [-0.05461450666189194, 0.03246363252401352, 0.35844969749450684], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '1-3', 'position': [2.872352123260498, 0.23411071300506592, 0.37605786323547363], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
2.json in test
THRESHOLD relate_behind objs = {'id': '2-0', 'position': [1.3658370971679688, 0.04191473871469498, 0.36018478870391846], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-1', 'position': [-2.9531562328338623, -0.2765580117702484, 0.3562130331993103], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-0', 'position': [1.3658370971679688, 0.04191473871469498, 0.36018478870391846], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-2', 'position': [-0.6535389423370361, -0.04192442446947098, 0.3707079291343689], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [1.3658370971679688, 0.04191473871469498, 0.36018478870391846], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-3', 'position': [2.745001792907715, 0.2805984616279602, 0.36659765243530273], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.9531562328338623, -0.2765580117702484, 0.3562130331993103], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-0', 'position': [1.3658370971679688, 0.04191473871469498, 0.36018478870391846], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-1', 'position': [-2.9531562328338623, -0.2765580117702484, 0.3562130331993103], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-2', 'position': [-0.6535389423370361, -0.04192442446947098, 0.3707079291343689], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-2', 'position': [-0.6535389423370361, -0.04192442446947098, 0.3707079291343689], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-1', 'position': [-2.9531562328338623, -0.2765580117702484, 0.3562130331993103], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [-0.6535389423370361, -0.04192442446947098, 0.3707079291343689], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [1.3658370971679688, 0.04191473871469498, 0.36018478870391846], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-2', 'position': [-0.6535389423370361, -0.04192442446947098, 0.3707079291343689], 'color': 'purple', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '2-3', 'position': [2.745001792907715, 0.2805984616279602, 0.36659765243530273], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-3', 'position': [2.745001792907715, 0.2805984616279602, 0.36659765243530273], 'color': 'purple', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '2-0', 'position': [1.3658370971679688, 0.04191473871469498, 0.36018478870391846], 'color': 'purple', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
