lr-Adam,step,train_loss,epoch,accuracy
0.0003,49,,,
,49,0.4402090311050415,0,
0.0003,99,,,
,99,0.432058185338974,0,
0.0003,149,,,
,149,0.13449937105178833,0,
,149,,0,0.2160000056028366
0.0003,199,,,
,199,0.2962898313999176,1,
0.0003,249,,,
,249,0.024691104888916016,1,
0.0003,299,,,
,299,0.018712878227233887,1,
,299,,1,0.20000000298023224
0.0003,349,,,
,349,0.02440190315246582,2,
0.0003,399,,,
,399,0.6292166709899902,2,
0.0003,449,,,
,449,0.03215643763542175,2,
,449,,2,0.10400000214576721
0.0003,499,,,
,499,0.13019537925720215,3,
0.0003,549,,,
,549,0.008835554122924805,3,
0.0003,599,,,
,599,0.002143383026123047,3,
,599,,3,0.12800000607967377
0.0003,649,,,
,649,0.000972747802734375,4,
0.0003,699,,,
,699,0.0002982616424560547,4,
0.0003,749,,,
,749,0.0004925727844238281,4,
,749,,4,0.17599999904632568
0.0003,799,,,
,799,7.724761962890625e-05,5,
0.0003,849,,,
,849,0.0011858940124511719,5,
0.0003,899,,,
,899,0.0008645057678222656,5,
,899,,5,0.19200000166893005
2.9999999999999997e-05,949,,,
,949,0.00019407272338867188,6,
2.9999999999999997e-05,999,,,
,999,0.0016689300537109375,6,
2.9999999999999997e-05,1049,,,
,1049,1.6689300537109375e-05,6,
,1049,,6,0.20000000298023224
2.9999999999999997e-05,1099,,,
,1099,4.76837158203125e-06,7,
2.9999999999999997e-05,1149,,,
,1149,0.0016297101974487305,7,
2.9999999999999997e-05,1199,,,
,1199,1.621246337890625e-05,7,
,1199,,7,0.1599999964237213
2.9999999999999997e-05,1249,,,
,1249,4.3392181396484375e-05,8,
2.9999999999999997e-05,1299,,,
,1299,0.0003666877746582031,8,
2.9999999999999997e-05,1349,,,
,1349,0.00020904839038848877,8,
,1349,,8,0.2240000069141388
3e-06,1399,,,
,1399,0.00011682510375976562,9,
3e-06,1449,,,
,1449,0.0008025169372558594,9,
3e-06,1499,,,
,1499,0.0021209418773651123,9,
,1499,,9,0.1679999977350235
3e-06,1549,,,
,1549,0.0006809234619140625,10,
3e-06,1599,,,
,1599,0.0008432865142822266,10,
3e-06,1649,,,
,1649,0.0003056526184082031,10,
,1649,,10,0.17599999904632568
3e-06,1699,,,
,1699,0.000270843505859375,11,
3e-06,1749,,,
,1749,0.0014884471893310547,11,
3e-06,1799,,,
,1799,0.0007734261453151703,11,
,1799,,11,0.1679999977350235
3.0000000000000004e-07,1849,,,
,1849,0.0004978179931640625,12,
3.0000000000000004e-07,1899,,,
,1899,0.0014078617095947266,12,
3.0000000000000004e-07,1949,,,
,1949,0.00015687942504882812,12,
,1949,,12,0.18400000035762787
3.0000000000000004e-07,1999,,,
,1999,0.0005027055740356445,13,
3.0000000000000004e-07,2049,,,
,2049,8.106231689453125e-06,13,
3.0000000000000004e-07,2099,,,
,2099,1.7642974853515625e-05,13,
,2099,,13,0.2160000056028366
3.0000000000000004e-07,2149,,,
,2149,4.00543212890625e-05,14,
3.0000000000000004e-07,2199,,,
,2199,0.00026988983154296875,14,
3.0000000000000004e-07,2249,,,
,2249,0.00022125244140625,14,
,2249,,14,0.20800000429153442
3.0000000000000004e-08,2299,,,
,2299,0.0005166530609130859,15,
3.0000000000000004e-08,2349,,,
,2349,0.00016832351684570312,15,
3.0000000000000004e-08,2399,,,
,2399,0.00011444091796875,15,
,2399,,15,0.20800000429153442
3.0000000000000004e-08,2449,,,
,2449,1.0967254638671875e-05,16,
3.0000000000000004e-08,2499,,,
,2499,0.00019407272338867188,16,
3.0000000000000004e-08,2549,,,
,2549,0.002313375473022461,16,
,2549,,16,0.20000000298023224
3.0000000000000004e-08,2599,,,
,2599,0.004795074462890625,17,
3.0000000000000004e-08,2649,,,
,2649,0.003323078155517578,17,
3.0000000000000004e-08,2699,,,
,2699,8.106231689453125e-06,17,
,2699,,17,0.2160000056028366
3.0000000000000004e-09,2749,,,
,2749,1.52587890625e-05,18,
3.0000000000000004e-09,2799,,,
,2799,1.0013580322265625e-05,18,
3.0000000000000004e-09,2849,,,
,2849,0.0004069805145263672,18,
,2849,,18,0.20000000298023224
3.0000000000000004e-09,2899,,,
,2899,0.00016736984252929688,19,
3.0000000000000004e-09,2949,,,
,2949,0.00022274255752563477,19,
3.0000000000000004e-09,2999,,,
,2999,4.291534423828125e-06,19,
,2999,,19,0.2160000056028366
3.0000000000000004e-09,3049,,,
,3049,0.0013270378112792969,20,
3.0000000000000004e-09,3099,,,
,3099,0.0042002201080322266,20,
3.0000000000000004e-09,3149,,,
,3149,3.8623809814453125e-05,20,
,3149,,20,0.20800000429153442
3.0000000000000004e-09,3199,,,
,3199,0.0003056526184082031,21,
3.0000000000000004e-09,3249,,,
,3249,9.5367431640625e-05,21,
3.0000000000000004e-09,3299,,,
,3299,3.4809112548828125e-05,21,
,3299,,21,0.20800000429153442
3.0000000000000004e-09,3349,,,
,3349,1.430511474609375e-05,22,
3.0000000000000004e-09,3399,,,
,3399,0.0012297630310058594,22,
3.0000000000000004e-09,3449,,,
,3449,1.52587890625e-05,22,
,3449,,22,0.20800000429153442
3.0000000000000004e-09,3499,,,
,3499,4.291534423828125e-06,23,
3.0000000000000004e-09,3549,,,
,3549,3.24249267578125e-05,23,
3.0000000000000004e-09,3599,,,
,3599,0.0002038031816482544,23,
,3599,,23,0.23999999463558197
3.0000000000000004e-09,3649,,,
,3649,0.00017452239990234375,24,
3.0000000000000004e-09,3699,,,
,3699,0.00019168853759765625,24,
3.0000000000000004e-09,3749,,,
,3749,9.417533874511719e-05,24,
,3749,,24,0.20800000429153442
3.0000000000000004e-09,3799,,,
,3799,1.71661376953125e-05,25,
3.0000000000000004e-09,3849,,,
,3849,9.417533874511719e-05,25,
3.0000000000000004e-09,3899,,,
,3899,0.0005700588226318359,25,
,3899,,25,0.17599999904632568
3.0000000000000004e-09,3949,,,
,3949,0.0023043155670166016,26,
3.0000000000000004e-09,3999,,,
,3999,0.0001220703125,26,
3.0000000000000004e-09,4049,,,
,4049,1.0728836059570312e-05,26,
,4049,,26,0.19200000166893005
3.0000000000000004e-09,4099,,,
,4099,0.002932310104370117,27,
3.0000000000000004e-09,4149,,,
,4149,0.0007119178771972656,27,
3.0000000000000004e-09,4199,,,
,4199,0.0005166530609130859,27,
,4199,,27,0.17599999904632568
3.0000000000000004e-09,4249,,,
,4249,0.0006661415100097656,28,
3.0000000000000004e-09,4299,,,
,4299,0.00012922286987304688,28,
3.0000000000000004e-09,4349,,,
,4349,9.059906005859375e-06,28,
,4349,,28,0.19200000166893005
3.0000000000000004e-09,4399,,,
,4399,0.0015039443969726562,29,
3.0000000000000004e-09,4449,,,
,4449,9.489059448242188e-05,29,
3.0000000000000004e-09,4499,,,
,4499,0.0004115104675292969,29,
,4499,,29,0.18400000035762787
3.0000000000000004e-09,4549,,,
,4549,1.71661376953125e-05,30,
3.0000000000000004e-09,4599,,,
,4599,0.0001220703125,30,
3.0000000000000004e-09,4649,,,
,4649,0.0002970695495605469,30,
,4649,,30,0.1599999964237213
3.0000000000000004e-09,4699,,,
,4699,0.000194549560546875,31,
3.0000000000000004e-09,4749,,,
,4749,0.00026988983154296875,31,
3.0000000000000004e-09,4799,,,
,4799,0.0002970695495605469,31,
,4799,,31,0.2160000056028366
3.0000000000000004e-09,4849,,,
,4849,0.0005166530609130859,32,
3.0000000000000004e-09,4899,,,
,4899,0.00026988983154296875,32,
3.0000000000000004e-09,4949,,,
,4949,0.0013270378112792969,32,
,4949,,32,0.19200000166893005
3.0000000000000004e-09,4999,,,
,4999,0.000827789306640625,33,
3.0000000000000004e-09,5049,,,
,5049,0.002313375473022461,33,
3.0000000000000004e-09,5099,,,
,5099,0.0006852447986602783,33,
,5099,,33,0.19200000166893005
3.0000000000000004e-09,5149,,,
,5149,0.00024640560150146484,34,
3.0000000000000004e-09,5199,,,
,5199,0.0005941390991210938,34,
3.0000000000000004e-09,5249,,,
,5249,0.0010173320770263672,34,
,5249,,34,0.23999999463558197
3.0000000000000004e-09,5299,,,
,5299,3.4809112548828125e-05,35,
3.0000000000000004e-09,5349,,,
,5349,4.291534423828125e-06,35,
3.0000000000000004e-09,5399,,,
,5399,4.291534423828125e-06,35,
,5399,,35,0.19200000166893005
3.0000000000000004e-09,5449,,,
,5449,0.00064849853515625,36,
3.0000000000000004e-09,5499,,,
,5499,1.0013580322265625e-05,36,
3.0000000000000004e-09,5549,,,
,5549,1.0728836059570312e-05,36,
,5549,,36,0.20000000298023224
3.0000000000000004e-09,5599,,,
,5599,0.0023043155670166016,37,
3.0000000000000004e-09,5649,,,
,5649,0.0003552436828613281,37,
3.0000000000000004e-09,5699,,,
,5699,0.0007699243724346161,37,
,5699,,37,0.2160000056028366
3.0000000000000004e-09,5749,,,
,5749,0.00016832351684570312,38,
3.0000000000000004e-09,5799,,,
,5799,0.0014812946319580078,38,
3.0000000000000004e-09,5849,,,
,5849,1.621246337890625e-05,38,
,5849,,38,0.19200000166893005
3.0000000000000004e-09,5899,,,
,5899,0.0006661415100097656,39,
3.0000000000000004e-09,5949,,,
,5949,0.0008276700973510742,39,
3.0000000000000004e-09,5999,,,
,5999,3.218650817871094e-05,39,
,5999,,39,0.19200000166893005
3.0000000000000004e-09,6049,,,
,6049,0.00479435920715332,40,
3.0000000000000004e-09,6099,,,
,6099,1.52587890625e-05,40,
3.0000000000000004e-09,6149,,,
,6149,1.621246337890625e-05,40,
,6149,,40,0.20800000429153442
3.0000000000000004e-09,6199,,,
,6199,0.0002193450927734375,41,
3.0000000000000004e-09,6249,,,
,6249,0.0003267526626586914,41,
3.0000000000000004e-09,6299,,,
,6299,0.00017452239990234375,41,
,6299,,41,0.1679999977350235
3.0000000000000004e-09,6349,,,
,6349,3.218650817871094e-05,42,
3.0000000000000004e-09,6399,,,
