a b c | 1.1 2.1 3.1 d
a b c | 1.1 2.1 3.2 d
a b c | 1.2 2.1 3.1 d
a b c | 1.2 2.1 3.2 d
a b c | 1.3 2.1 3.1 d
a b c | 1.3 2.1 3.2 d
a b c | 1.1 2.2 3.1 d
a b c | 1.1 2.2 3.2 d
a b c | 1.2 2.2 3.1 d
a b c | 1.2 2.2 3.2 d
a b c | 1.3 2.2 3.1 d
a b c | 1.3 2.2 3.2 d
a b c | 1.1 2.1 3.1 e
a b c | 1.1 2.1 3.2 e
a b c | 1.2 2.1 3.1 e
a b c | 1.2 2.1 3.2 e
a b c | 1.3 2.1 3.1 e
a b c | 1.3 2.1 3.2 e
a b c | 1.1 2.2 3.1 e
a b c | 1.1 2.2 3.2 e
a b c | 1.2 2.2 3.1 e
a b c | 1.2 2.2 3.2 e
a b c | 1.3 2.2 3.1 e
a b c | 1.3 2.2 3.2 e
a b d | 1.1 2.1 3.1 c
a b d | 1.1 2.1 3.2 c
a b d | 1.2 2.1 3.1 c
a b d | 1.2 2.1 3.2 c
a b d | 1.3 2.1 3.1 c
a b d | 1.3 2.1 3.2 c
a b d | 1.1 2.2 3.1 c
a b d | 1.1 2.2 3.2 c
a b d | 1.2 2.2 3.1 c
a b d | 1.2 2.2 3.2 c
a b d | 1.3 2.2 3.1 c
a b d | 1.3 2.2 3.2 c
a b d | 1.1 2.1 3.1 e
a b d | 1.1 2.1 3.2 e
a b d | 1.2 2.1 3.1 e
a b d | 1.2 2.1 3.2 e
a b d | 1.3 2.1 3.1 e
a b d | 1.3 2.1 3.2 e
a b d | 1.1 2.2 3.1 e
a b d | 1.1 2.2 3.2 e
a b d | 1.2 2.2 3.1 e
a b d | 1.2 2.2 3.2 e
a b d | 1.3 2.2 3.1 e
a b d | 1.3 2.2 3.2 e
a b e | 1.1 2.1 3.1 c
a b e | 1.1 2.1 3.2 c
a b e | 1.2 2.1 3.1 c
a b e | 1.2 2.1 3.2 c
a b e | 1.3 2.1 3.1 c
a b e | 1.3 2.1 3.2 c
a b e | 1.1 2.2 3.1 c
a b e | 1.1 2.2 3.2 c
a b e | 1.2 2.2 3.1 c
a b e | 1.2 2.2 3.2 c
a b e | 1.3 2.2 3.1 c
a b e | 1.3 2.2 3.2 c
a b e | 1.1 2.1 3.1 d
a b e | 1.1 2.1 3.2 d
a b e | 1.2 2.1 3.1 d
a b e | 1.2 2.1 3.2 d
a b e | 1.3 2.1 3.1 d
a b e | 1.3 2.1 3.2 d
a b e | 1.1 2.2 3.1 d
a b e | 1.1 2.2 3.2 d
a b e | 1.2 2.2 3.1 d
a b e | 1.2 2.2 3.2 d
a b e | 1.3 2.2 3.1 d
a b e | 1.3 2.2 3.2 d
a c d | 1.1 2.1 3.1 b
a c d | 1.1 2.1 3.2 b
a c d | 1.2 2.1 3.1 b
a c d | 1.2 2.1 3.2 b
a c d | 1.3 2.1 3.1 b
a c d | 1.3 2.1 3.2 b
a c d | 1.1 2.2 3.1 b
a c d | 1.1 2.2 3.2 b
a c d | 1.2 2.2 3.1 b
a c d | 1.2 2.2 3.2 b
a c d | 1.3 2.2 3.1 b
a c d | 1.3 2.2 3.2 b
a c d | 1.1 2.1 3.1 e
a c d | 1.1 2.1 3.2 e
a c d | 1.2 2.1 3.1 e
a c d | 1.2 2.1 3.2 e
a c d | 1.3 2.1 3.1 e
a c d | 1.3 2.1 3.2 e
a c d | 1.1 2.2 3.1 e
a c d | 1.1 2.2 3.2 e
a c d | 1.2 2.2 3.1 e
a c d | 1.2 2.2 3.2 e
a c d | 1.3 2.2 3.1 e
a c d | 1.3 2.2 3.2 e
a c e | 1.1 2.1 3.1 b
a c e | 1.1 2.1 3.2 b
a c e | 1.2 2.1 3.1 b
a c e | 1.2 2.1 3.2 b
a c e | 1.3 2.1 3.1 b
a c e | 1.3 2.1 3.2 b
a c e | 1.1 2.2 3.1 b
a c e | 1.1 2.2 3.2 b
a c e | 1.2 2.2 3.1 b
a c e | 1.2 2.2 3.2 b
a c e | 1.3 2.2 3.1 b
a c e | 1.3 2.2 3.2 b
a c e | 1.1 2.1 3.1 d
a c e | 1.1 2.1 3.2 d
a c e | 1.2 2.1 3.1 d
a c e | 1.2 2.1 3.2 d
a c e | 1.3 2.1 3.1 d
a c e | 1.3 2.1 3.2 d
a c e | 1.1 2.2 3.1 d
a c e | 1.1 2.2 3.2 d
a c e | 1.2 2.2 3.1 d
a c e | 1.2 2.2 3.2 d
a c e | 1.3 2.2 3.1 d
a c e | 1.3 2.2 3.2 d
a d e | 1.1 2.1 3.1 b
a d e | 1.1 2.1 3.2 b
a d e | 1.2 2.1 3.1 b
a d e | 1.2 2.1 3.2 b
a d e | 1.3 2.1 3.1 b
a d e | 1.3 2.1 3.2 b
a d e | 1.1 2.2 3.1 b
a d e | 1.1 2.2 3.2 b
a d e | 1.2 2.2 3.1 b
a d e | 1.2 2.2 3.2 b
a d e | 1.3 2.2 3.1 b
a d e | 1.3 2.2 3.2 b
a d e | 1.1 2.1 3.1 c
a d e | 1.1 2.1 3.2 c
a d e | 1.2 2.1 3.1 c
a d e | 1.2 2.1 3.2 c
a d e | 1.3 2.1 3.1 c
a d e | 1.3 2.1 3.2 c
a d e | 1.1 2.2 3.1 c
a d e | 1.1 2.2 3.2 c
a d e | 1.2 2.2 3.1 c
a d e | 1.2 2.2 3.2 c
a d e | 1.3 2.2 3.1 c
a d e | 1.3 2.2 3.2 c
b c d | 1.1 2.1 3.1 a
b c d | 1.1 2.1 3.2 a
b c d | 1.2 2.1 3.1 a
b c d | 1.2 2.1 3.2 a
b c d | 1.3 2.1 3.1 a
b c d | 1.3 2.1 3.2 a
b c d | 1.1 2.2 3.1 a
b c d | 1.1 2.2 3.2 a
b c d | 1.2 2.2 3.1 a
b c d | 1.2 2.2 3.2 a
b c d | 1.3 2.2 3.1 a
b c d | 1.3 2.2 3.2 a
b c d | 1.1 2.1 3.1 e
b c d | 1.1 2.1 3.2 e
b c d | 1.2 2.1 3.1 e
b c d | 1.2 2.1 3.2 e
b c d | 1.3 2.1 3.1 e
b c d | 1.3 2.1 3.2 e
b c d | 1.1 2.2 3.1 e
b c d | 1.1 2.2 3.2 e
b c d | 1.2 2.2 3.1 e
b c d | 1.2 2.2 3.2 e
b c d | 1.3 2.2 3.1 e
b c d | 1.3 2.2 3.2 e
b c e | 1.1 2.1 3.1 a
b c e | 1.1 2.1 3.2 a
b c e | 1.2 2.1 3.1 a
b c e | 1.2 2.1 3.2 a
b c e | 1.3 2.1 3.1 a
b c e | 1.3 2.1 3.2 a
b c e | 1.1 2.2 3.1 a
b c e | 1.1 2.2 3.2 a
b c e | 1.2 2.2 3.1 a
b c e | 1.2 2.2 3.2 a
b c e | 1.3 2.2 3.1 a
b c e | 1.3 2.2 3.2 a
b c e | 1.1 2.1 3.1 d
b c e | 1.1 2.1 3.2 d
b c e | 1.2 2.1 3.1 d
b c e | 1.2 2.1 3.2 d
b c e | 1.3 2.1 3.1 d
b c e | 1.3 2.1 3.2 d
b c e | 1.1 2.2 3.1 d
b c e | 1.1 2.2 3.2 d
b c e | 1.2 2.2 3.1 d
b c e | 1.2 2.2 3.2 d
b c e | 1.3 2.2 3.1 d
b c e | 1.3 2.2 3.2 d
b d e | 1.1 2.1 3.1 a
b d e | 1.1 2.1 3.2 a
b d e | 1.2 2.1 3.1 a
