lr-Adam,step,train_loss,epoch,accuracy
0.0003,49,,,
,49,0.5529997944831848,0,
0.0003,99,,,
,99,0.47970783710479736,0,
0.0003,149,,,
,149,0.7352877259254456,0,
,149,,0,0.5600000023841858
0.0003,199,,,
,199,0.4639512300491333,1,
0.0003,249,,,
,249,0.5455073118209839,1,
0.0003,299,,,
,299,0.13603681325912476,1,
,299,,1,0.5120000243186951
0.0003,349,,,
,349,0.3226161599159241,2,
0.0003,399,,,
,399,0.3668537735939026,2,
0.0003,449,,,
,449,0.6793912649154663,2,
,449,,2,0.5440000295639038
0.0003,499,,,
,499,0.14039534330368042,3,
0.0003,549,,,
,549,0.43162891268730164,3,
0.0003,599,,,
,599,0.48025771975517273,3,
,599,,3,0.5920000076293945
0.0003,649,,,
,649,0.24020463228225708,4,
0.0003,699,,,
,699,0.48905688524246216,4,
0.0003,749,,,
,749,0.15570545196533203,4,
,749,,4,0.5120000243186951
2.9999999999999997e-05,799,,,
,799,0.4615911841392517,5,
2.9999999999999997e-05,849,,,
,849,0.06712816655635834,5,
2.9999999999999997e-05,899,,,
,899,0.05956768989562988,5,
,899,,5,0.5040000081062317
2.9999999999999997e-05,949,,,
,949,0.27001824975013733,6,
2.9999999999999997e-05,999,,,
,999,0.08100622892379761,6,
2.9999999999999997e-05,1049,,,
,1049,0.2736215591430664,6,
,1049,,6,0.5440000295639038
2.9999999999999997e-05,1099,,,
,1099,0.9259555339813232,7,
2.9999999999999997e-05,1149,,,
,1149,0.35662347078323364,7,
2.9999999999999997e-05,1199,,,
,1199,0.5407376289367676,7,
,1199,,7,0.5440000295639038
2.9999999999999997e-05,1249,,,
,1249,0.019957318902015686,8,
2.9999999999999997e-05,1299,,,
,1299,0.3566964566707611,8,
2.9999999999999997e-05,1349,,,
,1349,0.47805464267730713,8,
,1349,,8,0.5519999861717224
3e-06,1399,,,
,1399,0.2811398506164551,9,
3e-06,1449,,,
,1449,0.5134756565093994,9,
3e-06,1499,,,
,1499,0.433756023645401,9,
,1499,,9,0.5360000133514404
3e-06,1549,,,
,1549,0.03293806314468384,10,
3e-06,1599,,,
,1599,0.32717621326446533,10,
3e-06,1649,,,
,1649,0.20401689410209656,10,
,1649,,10,0.5519999861717224
3e-06,1699,,,
,1699,0.3229266107082367,11,
3e-06,1749,,,
,1749,0.9217666387557983,11,
3e-06,1799,,,
,1799,0.35475075244903564,11,
,1799,,11,0.5360000133514404
3.0000000000000004e-07,1849,,,
,1849,0.024322420358657837,12,
3.0000000000000004e-07,1899,,,
,1899,0.36433643102645874,12,
3.0000000000000004e-07,1949,,,
,1949,0.21150459349155426,12,
,1949,,12,0.5600000023841858
3.0000000000000004e-07,1999,,,
,1999,0.3651229441165924,13,
3.0000000000000004e-07,2049,,,
,2049,0.49974945187568665,13,
3.0000000000000004e-07,2099,,,
,2099,0.3348008096218109,13,
,2099,,13,0.5600000023841858
3.0000000000000004e-07,2149,,,
,2149,0.01523105800151825,14,
3.0000000000000004e-07,2199,,,
,2199,0.3232583701610565,14,
3.0000000000000004e-07,2249,,,
,2249,0.3797726333141327,14,
,2249,,14,0.5759999752044678
3.0000000000000004e-08,2299,,,
,2299,0.5083595514297485,15,
3.0000000000000004e-08,2349,,,
,2349,0.05618387460708618,15,
3.0000000000000004e-08,2399,,,
,2399,0.28516873717308044,15,
,2399,,15,0.5519999861717224
3.0000000000000004e-08,2449,,,
,2449,0.12567275762557983,16,
3.0000000000000004e-08,2499,,,
,2499,0.01162027195096016,16,
3.0000000000000004e-08,2549,,,
,2549,0.007127702236175537,16,
,2549,,16,0.5759999752044678
3.0000000000000004e-08,2599,,,
,2599,0.1387624740600586,17,
3.0000000000000004e-08,2649,,,
,2649,0.01442950963973999,17,
3.0000000000000004e-08,2699,,,
,2699,0.49903684854507446,17,
,2699,,17,0.5680000185966492
3.0000000000000004e-09,2749,,,
,2749,0.18900367617607117,18,
3.0000000000000004e-09,2799,,,
,2799,0.4575626254081726,18,
3.0000000000000004e-09,2849,,,
,2849,0.6650086641311646,18,
,2849,,18,0.5600000023841858
3.0000000000000004e-09,2899,,,
,2899,0.42086151242256165,19,
3.0000000000000004e-09,2949,,,
,2949,0.3828948140144348,19,
3.0000000000000004e-09,2999,,,
,2999,0.2796950042247772,19,
,2999,,19,0.5920000076293945
3.0000000000000004e-09,3049,,,
,3049,0.9453456401824951,20,
3.0000000000000004e-09,3099,,,
,3099,0.2763790488243103,20,
3.0000000000000004e-09,3149,,,
,3149,0.32148367166519165,20,
,3149,,20,0.5759999752044678
3.0000000000000004e-09,3199,,,
,3199,0.21404509246349335,21,
3.0000000000000004e-09,3249,,,
,3249,0.2635950744152069,21,
3.0000000000000004e-09,3299,,,
,3299,0.15205445885658264,21,
,3299,,21,0.5680000185966492
3.0000000000000004e-09,3349,,,
,3349,0.19118404388427734,22,
3.0000000000000004e-09,3399,,,
,3399,0.06106305122375488,22,
3.0000000000000004e-09,3449,,,
,3449,0.44627052545547485,22,
,3449,,22,0.5440000295639038
3.0000000000000004e-09,3499,,,
,3499,0.47781896591186523,23,
3.0000000000000004e-09,3549,,,
,3549,0.33674636483192444,23,
3.0000000000000004e-09,3599,,,
,3599,0.49597302079200745,23,
,3599,,23,0.6000000238418579
3.0000000000000004e-09,3649,,,
,3649,0.02887210249900818,24,
3.0000000000000004e-09,3699,,,
,3699,0.04910391569137573,24,
3.0000000000000004e-09,3749,,,
,3749,0.31982138752937317,24,
,3749,,24,0.5680000185966492
3.0000000000000004e-09,3799,,,
,3799,0.16000765562057495,25,
3.0000000000000004e-09,3849,,,
,3849,0.3198249638080597,25,
3.0000000000000004e-09,3899,,,
,3899,0.026042401790618896,25,
,3899,,25,0.5519999861717224
3.0000000000000004e-09,3949,,,
,3949,0.5469158887863159,26,
3.0000000000000004e-09,3999,,,
,3999,0.1672968566417694,26,
3.0000000000000004e-09,4049,,,
,4049,0.23344892263412476,26,
,4049,,26,0.5519999861717224
3.0000000000000004e-09,4099,,,
,4099,0.4238033890724182,27,
3.0000000000000004e-09,4149,,,
,4149,0.25900161266326904,27,
3.0000000000000004e-09,4199,,,
,4199,0.5082011818885803,27,
,4199,,27,0.5600000023841858
3.0000000000000004e-09,4249,,,
