a b | 1 2 c
a b | 1 3 c
a b | 1 4 c
a b | 1 5 c
a b | 1 6 c
a b | 1 7 c
a b | 2 3 c
a b | 2 4 c
a b | 2 5 c
a b | 2 6 c
a b | 2 7 c
a b | 3 4 c
a b | 3 5 c
a b | 3 6 c
a b | 3 7 c
a b | 4 5 c
a b | 4 6 c
a b | 4 7 c
a b | 5 6 c
a b | 5 7 c
a b | 6 7 c
a c | 1 2 b
a c | 1 3 b
a c | 1 4 b
a c | 1 5 b
a c | 1 6 b
a c | 1 7 b
a c | 2 3 b
a c | 2 4 b
a c | 2 5 b
a c | 2 6 b
a c | 2 7 b
a c | 3 4 b
a c | 3 5 b
a c | 3 6 b
a c | 3 7 b
a c | 4 5 b
a c | 4 6 b
a c | 4 7 b
a c | 5 6 b
a c | 5 7 b
a c | 6 7 b
b c | 1 2 a
b c | 1 3 a
b c | 1 4 a
b c | 1 5 a
b c | 1 6 a
b c | 1 7 a
b c | 2 3 a
b c | 2 4 a
b c | 2 5 a
b c | 2 6 a
b c | 2 7 a
b c | 3 4 a
b c | 3 5 a
b c | 3 6 a
b c | 3 7 a
b c | 4 5 a
b c | 4 6 a
b c | 4 7 a
b c | 5 6 a
b c | 5 7 a
b c | 6 7 a
