Started Logging. 2022-07-09 16:38:53.293478

0.json in train
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.717766523361206, -0.1143588274717331, 0.6980941295623779], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-1', 'position': [2.8277502059936523, 0.18428826332092285, 0.6904751062393188], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.717766523361206, -0.1143588274717331, 0.6980941295623779], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-2', 'position': [0.1350163221359253, 0.06617051362991333, 0.6950293779373169], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '0-1', 'position': [2.8277502059936523, 0.18428826332092285, 0.6904751062393188], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-0', 'position': [-2.717766523361206, -0.1143588274717331, 0.6980941295623779], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '0-1', 'position': [2.8277502059936523, 0.18428826332092285, 0.6904751062393188], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-2', 'position': [0.1350163221359253, 0.06617051362991333, 0.6950293779373169], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '0-2', 'position': [0.1350163221359253, 0.06617051362991333, 0.6950293779373169], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '0-0', 'position': [-2.717766523361206, -0.1143588274717331, 0.6980941295623779], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [0.1350163221359253, 0.06617051362991333, 0.6950293779373169], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '0-1', 'position': [2.8277502059936523, 0.18428826332092285, 0.6904751062393188], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
1.json in test
THRESHOLD relate_behind objs = {'id': '1-0', 'position': [0.06932519376277924, 0.05681914836168289, 0.6920770406723022], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '1-2', 'position': [-2.754936456680298, -0.14734527468681335, 0.7083147764205933], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [0.06932519376277924, 0.05681914836168289, 0.6920770406723022], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '1-1', 'position': [2.888803243637085, 0.3052974045276642, 0.6978076696395874], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '1-1', 'position': [2.888803243637085, 0.3052974045276642, 0.6978076696395874], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '1-0', 'position': [0.06932519376277924, 0.05681914836168289, 0.6920770406723022], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [-2.754936456680298, -0.14734527468681335, 0.7083147764205933], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '1-0', 'position': [0.06932519376277924, 0.05681914836168289, 0.6920770406723022], 'color': 'yellow', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
