Started Logging. 2022-07-09 13:57:58.861874

0.json in train
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-1.3613766431808472, -0.25016695261001587, 0.3567633032798767], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-1', 'position': [-2.745508909225464, -0.07725074142217636, 0.36352959275245667], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-1.3613766431808472, -0.25016695261001587, 0.3567633032798767], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-2', 'position': [0.10412513464689255, -0.12181010097265244, 0.360552042722702], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-1.3613766431808472, -0.25016695261001587, 0.3567633032798767], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-3', 'position': [1.5311006307601929, 0.004947807639837265, 0.3655971884727478], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-1', 'position': [-2.745508909225464, -0.07725074142217636, 0.36352959275245667], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-0', 'position': [-1.3613766431808472, -0.25016695261001587, 0.3567633032798767], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-1', 'position': [-2.745508909225464, -0.07725074142217636, 0.36352959275245667], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-2', 'position': [0.10412513464689255, -0.12181010097265244, 0.360552042722702], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-2.745508909225464, -0.07725074142217636, 0.36352959275245667], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}, {'id': '0-3', 'position': [1.5311006307601929, 0.004947807639837265, 0.3655971884727478], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-2', 'position': [0.10412513464689255, -0.12181010097265244, 0.360552042722702], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-0', 'position': [-1.3613766431808472, -0.25016695261001587, 0.3567633032798767], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [0.10412513464689255, -0.12181010097265244, 0.360552042722702], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-1', 'position': [-2.745508909225464, -0.07725074142217636, 0.36352959275245667], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [0.10412513464689255, -0.12181010097265244, 0.360552042722702], 'color': 'yellow', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-3', 'position': [1.5311006307601929, 0.004947807639837265, 0.3655971884727478], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.5311006307601929, 0.004947807639837265, 0.3655971884727478], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '0-0', 'position': [-1.3613766431808472, -0.25016695261001587, 0.3567633032798767], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.5311006307601929, 0.004947807639837265, 0.3655971884727478], 'color': 'yellow', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}, {'id': '0-1', 'position': [-2.745508909225464, -0.07725074142217636, 0.36352959275245667], 'color': 'yellow', 'material': 'rubber', 'shape': 'cylinder', 'size': 'small'}
