Started Logging. 2022-07-09 16:28:23.126335

0.json in train
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.799168348312378, -0.11065273731946945, 0.6958128213882446], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-1', 'position': [2.881315231323242, 0.23026490211486816, 0.6894766092300415], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-2.799168348312378, -0.11065273731946945, 0.6958128213882446], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-2', 'position': [0.10271479934453964, -0.02293260768055916, 0.6929653882980347], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '0-1', 'position': [2.881315231323242, 0.23026490211486816, 0.6894766092300415], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-0', 'position': [-2.799168348312378, -0.11065273731946945, 0.6958128213882446], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '0-1', 'position': [2.881315231323242, 0.23026490211486816, 0.6894766092300415], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '0-2', 'position': [0.10271479934453964, -0.02293260768055916, 0.6929653882980347], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '0-2', 'position': [0.10271479934453964, -0.02293260768055916, 0.6929653882980347], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '0-0', 'position': [-2.799168348312378, -0.11065273731946945, 0.6958128213882446], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [0.10271479934453964, -0.02293260768055916, 0.6929653882980347], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '0-1', 'position': [2.881315231323242, 0.23026490211486816, 0.6894766092300415], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
1.json in test
THRESHOLD relate_behind objs = {'id': '1-0', 'position': [-0.049440838396549225, 0.08835015445947647, 0.6906373500823975], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '1-2', 'position': [-2.8531110286712646, -0.06594176590442657, 0.6974629163742065], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '1-0', 'position': [-0.049440838396549225, 0.08835015445947647, 0.6906373500823975], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '1-1', 'position': [2.761180877685547, 0.28651848435401917, 0.6988899111747742], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '1-1', 'position': [2.761180877685547, 0.28651848435401917, 0.6988899111747742], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '1-0', 'position': [-0.049440838396549225, 0.08835015445947647, 0.6906373500823975], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_behind objs = {'id': '1-1', 'position': [2.761180877685547, 0.28651848435401917, 0.6988899111747742], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}, {'id': '1-2', 'position': [-2.8531110286712646, -0.06594176590442657, 0.6974629163742065], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [-2.8531110286712646, -0.06594176590442657, 0.6974629163742065], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '1-0', 'position': [-0.049440838396549225, 0.08835015445947647, 0.6906373500823975], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
THRESHOLD relate_front objs = {'id': '1-2', 'position': [-2.8531110286712646, -0.06594176590442657, 0.6974629163742065], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'large'}, {'id': '1-1', 'position': [2.761180877685547, 0.28651848435401917, 0.6988899111747742], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'large'}
2.json in test
THRESHOLD relate_behind objs = {'id': '2-0', 'position': [0.09346797317266464, 0.06008189916610718, 0.3400130867958069], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-1', 'position': [-2.8263611793518066, -0.16694632172584534, 0.3435642421245575], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '2-0', 'position': [0.09346797317266464, 0.06008189916610718, 0.3400130867958069], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-2', 'position': [-1.393871784210205, -0.038790516555309296, 0.34764236211776733], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '2-0', 'position': [0.09346797317266464, 0.06008189916610718, 0.3400130867958069], 'color': 'blue', 'material': 'metal', 'shape': 'cylinder', 'size': 'small'}, {'id': '2-3', 'position': [1.410091519355774, 0.10634076595306396, 0.3457998037338257], 'color': 'blue', 'material': 'metal', 'shape': 'sphere', 'size': 'small'}
