Started Logging. 2022-07-09 14:14:05.865552

0.json in train
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-0.05370601266622543, 0.18695789575576782, 0.3817932605743408], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '0-1', 'position': [-2.7027764320373535, -0.06559306383132935, 0.35272276401519775], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-0', 'position': [-0.05370601266622543, 0.18695789575576782, 0.3817932605743408], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '0-2', 'position': [-1.4253860712051392, -0.07200448215007782, 0.36068397760391235], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-0', 'position': [-0.05370601266622543, 0.18695789575576782, 0.3817932605743408], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}, {'id': '0-3', 'position': [1.4643763303756714, 0.20877468585968018, 0.36311525106430054], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-1', 'position': [-2.7027764320373535, -0.06559306383132935, 0.35272276401519775], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-2', 'position': [-1.4253860712051392, -0.07200448215007782, 0.36068397760391235], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-2.7027764320373535, -0.06559306383132935, 0.35272276401519775], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-0', 'position': [-0.05370601266622543, 0.18695789575576782, 0.3817932605743408], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-1', 'position': [-2.7027764320373535, -0.06559306383132935, 0.35272276401519775], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-3', 'position': [1.4643763303756714, 0.20877468585968018, 0.36311525106430054], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [-1.4253860712051392, -0.07200448215007782, 0.36068397760391235], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-0', 'position': [-0.05370601266622543, 0.18695789575576782, 0.3817932605743408], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [-1.4253860712051392, -0.07200448215007782, 0.36068397760391235], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-1', 'position': [-2.7027764320373535, -0.06559306383132935, 0.35272276401519775], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
THRESHOLD relate_front objs = {'id': '0-2', 'position': [-1.4253860712051392, -0.07200448215007782, 0.36068397760391235], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}, {'id': '0-3', 'position': [1.4643763303756714, 0.20877468585968018, 0.36311525106430054], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.4643763303756714, 0.20877468585968018, 0.36311525106430054], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '0-0', 'position': [-0.05370601266622543, 0.18695789575576782, 0.3817932605743408], 'color': 'red', 'material': 'rubber', 'shape': 'cube', 'size': 'small'}
THRESHOLD relate_behind objs = {'id': '0-3', 'position': [1.4643763303756714, 0.20877468585968018, 0.36311525106430054], 'color': 'red', 'material': 'metal', 'shape': 'cube', 'size': 'small'}, {'id': '0-1', 'position': [-2.7027764320373535, -0.06559306383132935, 0.35272276401519775], 'color': 'red', 'material': 'rubber', 'shape': 'sphere', 'size': 'small'}
